open_time,open,high,low,close,volume,close_time,amount,trade_count,open_time_unix_ms,close_time_unix_ms,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T
2025-11-07 15:00:00,3325,3325,3325,3325,2,2025-11-07 16:00:00,6650,1,1762502400000,1762506000000,101496.18000000,100000,0.01906393,0.00011416,0.01917808
2025-11-07 16:00:00,2970,2970,2935,2940,0.22,2025-11-07 17:00:00,648.9,3,1762506000000,1762509600000,101013.66000000,100000,0.01894977,0.00022831,0.01917808
2025-11-07 17:00:00,2970,3025,2970,3025,1.97,2025-11-07 18:00:00,5933.75,3,1762509600000,1762513200000,100770.85000000,100000,0.01883562,0.00034247,0.01917808
2025-11-07 18:00:00,2640,2640,2380,2640,1.48,2025-11-07 19:00:00,3563,4,1762513200000,1762516800000,100411.89000000,100000,0.01872146,0.00045662,0.01917808
2025-11-07 19:00:00,2350,2350,2300,2300,0.39,2025-11-07 20:00:00,905.1,3,1762516800000,1762520400000,99638.28000000,100000,0.01860731,0.00057078,0.01917808
2025-11-07 20:00:00,2300,2300,2300,2300,0,2025-11-07 21:00:00,0,0,1762520400000,1762524000000,100347.35000000,100000,0.01849315,0.00068493,0.01917808
2025-11-07 21:00:00,2485,2735,2485,2735,0.5,2025-11-07 22:00:00,1267.5,2,1762524000000,1762527600000,100806.08000000,100000,0.01837900,0.00079909,0.01917808
2025-11-07 22:00:00,2770,2870,2645,2870,0.26,2025-11-07 23:00:00,726.85,4,1762527600000,1762531200000,100797.95000000,100000,0.01826484,0.00091324,0.01917808
2025-11-07 23:00:00,2870,2870,2870,2870,0,2025-11-08 00:00:00,0,0,1762531200000,1762534800000,101169.20000000,100000,0.01815068,0.00102740,0.01917808
2025-11-08 00:00:00,3280,3280,3280,3280,0.02,2025-11-08 01:00:00,65.6,1,1762534800000,1762538400000,102397.12000000,100000,0.01803653,0.00114155,0.01917808
2025-11-08 01:00:00,3700,3700,3700,3700,0.02,2025-11-08 02:00:00,74,1,1762538400000,1762542000000,102609.46000000,100000,0.01792237,0.00125571,0.01917808
