open_time,open,high,low,close,volume,close_time,amount,trade_count,open_time_unix_ms,close_time_unix_ms,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T
2025-12-05 15:00:00,1940,1940,1940,1940,0,2025-12-05 15:30:00,0,0,1764921600000,1764923400000,92061.76000000,90000,0.00268265,0.00005708,0.00273973
2025-12-05 15:30:00,1940,1940,1940,1940,0,2025-12-05 16:00:00,0,0,1764923400000,1764925200000,92112.04000000,90000,0.00262557,0.00011416,0.00273973
2025-12-05 16:00:00,1940,1940,1940,1940,0,2025-12-05 16:30:00,0,0,1764925200000,1764927000000,91345.57000000,90000,0.00256849,0.00017123,0.00273973
2025-12-05 16:30:00,1940,1940,1940,1940,0,2025-12-05 17:00:00,0,0,1764927000000,1764928800000,91128.56000000,90000,0.00251142,0.00022831,0.00273973
2025-12-05 17:00:00,1940,1940,1940,1940,0,2025-12-05 17:30:00,0,0,1764928800000,1764930600000,91352.14000000,90000,0.00245434,0.00028539,0.00273973
2025-12-05 17:30:00,1940,1940,1940,1940,0,2025-12-05 18:00:00,0,0,1764930600000,1764932400000,91272.85000000,90000,0.00239726,0.00034247,0.00273973
2025-12-05 18:00:00,1940,1940,1940,1940,0,2025-12-05 18:30:00,0,0,1764932400000,1764934200000,91421.84000000,90000,0.00234018,0.00039954,0.00273973
2025-12-05 18:30:00,1940,1940,1940,1940,0,2025-12-05 19:00:00,0,0,1764934200000,1764936000000,91351.43000000,90000,0.00228311,0.00045662,0.00273973
2025-12-05 19:00:00,1940,1940,1940,1940,0,2025-12-05 19:30:00,0,0,1764936000000,1764937800000,91227.71000000,90000,0.00222603,0.00051370,0.00273973
2025-12-05 19:30:00,1940,1940,1940,1940,0,2025-12-05 20:00:00,0,0,1764937800000,1764939600000,91242.40000000,90000,0.00216895,0.00057078,0.00273973
2025-12-05 20:00:00,1940,1940,1940,1940,0,2025-12-05 20:30:00,0,0,1764939600000,1764941400000,90818.73000000,90000,0.00211187,0.00062785,0.00273973
2025-12-05 20:30:00,1370,1370,1045,1160,0.35,2025-12-05 21:00:00,417.55,5,1764941400000,1764943200000,90465.14000000,90000,0.00205479,0.00068493,0.00273973
2025-12-05 21:00:00,1075,1105,1030,1105,0.23,2025-12-05 21:30:00,252.45,4,1764943200000,1764945000000,90440.25000000,90000,0.00199772,0.00074201,0.00273973
2025-12-05 21:30:00,1075,1075,875,930,5.79,2025-12-05 22:00:00,5453,10,1764945000000,1764946800000,90287.67000000,90000,0.00194064,0.00079909,0.00273973
2025-12-05 22:00:00,1040,1300,1040,1300,1.51,2025-12-05 22:30:00,1859,4,1764946800000,1764948600000,91228.99000000,90000,0.00188356,0.00085616,0.00273973
2025-12-05 22:30:00,1310,1310,1310,1310,0.01,2025-12-05 23:00:00,13.1,1,1764948600000,1764950400000,90459.35000000,90000,0.00182648,0.00091324,0.00273973
2025-12-05 23:00:00,665,665,375,375,10.33,2025-12-05 23:30:00,4515.05,21,1764950400000,1764952200000,89066.01000000,90000,0.00176941,0.00097032,0.00273973
2025-12-05 23:30:00,360,360,220,300,5.41,2025-12-06 00:00:00,1440.55,14,1764952200000,1764954000000,88810.89000000,90000,0.00171233,0.00102740,0.00273973
2025-12-06 00:00:00,260,260,260,260,0.2,2025-12-06 00:30:00,52,1,1764954000000,1764955800000,88763.17000000,90000,0.00165525,0.00108447,0.00273973
2025-12-06 00:30:00,255,340,250,340,3.57,2025-12-06 01:00:00,1077.95,11,1764955800000,1764957600000,89336.13000000,90000,0.00159817,0.00114155,0.00273973
