open_time,open,high,low,close,volume,close_time,amount,trade_count,open_time_unix_ms,close_time_unix_ms,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T
2025-10-31 15:00:00,165,170,165,170,0.58,2025-10-31 16:00:00,98.2,3,1761897600000,1761901200000,110062.44000000,120000,0.01906393,0.00011416,0.01917808
2025-10-31 16:00:00,175,175,175,175,0.05,2025-10-31 17:00:00,8.75,3,1761901200000,1761904800000,109848.39000000,120000,0.01894977,0.00022831,0.01917808
2025-10-31 17:00:00,175,175,175,175,0,2025-10-31 18:00:00,0,0,1761904800000,1761908400000,109819.20000000,120000,0.01883562,0.00034247,0.01917808
2025-10-31 18:00:00,140,175,135,175,14.99,2025-10-31 19:00:00,2119.3,10,1761908400000,1761912000000,110415.61000000,120000,0.01872146,0.00045662,0.01917808
2025-10-31 19:00:00,205,205,150,150,0.07,2025-10-31 20:00:00,12.8,3,1761912000000,1761915600000,109653.19000000,120000,0.01860731,0.00057078,0.01917808
2025-10-31 20:00:00,155,155,155,155,8.31,2025-10-31 21:00:00,1288.05,1,1761915600000,1761919200000,110157.54000000,120000,0.01849315,0.00068493,0.01917808
2025-10-31 21:00:00,155,160,155,160,2.71,2025-10-31 22:00:00,424.1,3,1761919200000,1761922800000,110790.14000000,120000,0.01837900,0.00079909,0.01917808
2025-10-31 22:00:00,160,160,160,160,0,2025-10-31 23:00:00,0,0,1761922800000,1761926400000,110202.90000000,120000,0.01826484,0.00091324,0.01917808
2025-10-31 23:00:00,140,140,140,140,0.07,2025-11-01 00:00:00,9.8,1,1761926400000,1761930000000,108845.40000000,120000,0.01815068,0.00102740,0.01917808
2025-11-01 00:00:00,100,100,100,100,1,2025-11-01 01:00:00,100,2,1761930000000,1761933600000,109299.98000000,120000,0.01803653,0.00114155,0.01917808
2025-11-01 01:00:00,105,105,105,105,0.31,2025-11-01 02:00:00,32.55,1,1761933600000,1761937200000,109452.35000000,120000,0.01792237,0.00125571,0.01917808
2025-11-01 02:00:00,110,110,110,110,1.22,2025-11-01 03:00:00,134.2,6,1761937200000,1761940800000,109828.78000000,120000,0.01780822,0.00136986,0.01917808
2025-11-01 03:00:00,110,110,110,110,0,2025-11-01 04:00:00,0,0,1761940800000,1761944400000,109493.85000000,120000,0.01769406,0.00148402,0.01917808
2025-11-01 04:00:00,110,110,110,110,0,2025-11-01 05:00:00,0,0,1761944400000,1761948000000,109558.48000000,120000,0.01757991,0.00159817,0.01917808
2025-11-01 05:00:00,110,110,110,110,0,2025-11-01 06:00:00,0,0,1761948000000,1761951600000,109580.09000000,120000,0.01746575,0.00171233,0.01917808
2025-11-01 06:00:00,110,110,110,110,0,2025-11-01 07:00:00,0,0,1761951600000,1761955200000,109608.01000000,120000,0.01735160,0.00182648,0.01917808
2025-11-01 07:00:00,110,110,110,110,0,2025-11-01 08:00:00,0,0,1761955200000,1761958800000,109730.78000000,120000,0.01723744,0.00194064,0.01917808
2025-11-01 08:00:00,110,110,110,110,0,2025-11-01 09:00:00,0,0,1761958800000,1761962400000,109734.11000000,120000,0.01712329,0.00205479,0.01917808
2025-11-01 09:00:00,90,90,80,85,5.03,2025-11-01 10:00:00,428.25,5,1761962400000,1761966000000,109790.27000000,120000,0.01700913,0.00216895,0.01917808
2025-11-01 10:00:00,85,85,85,85,0,2025-11-01 11:00:00,0,0,1761966000000,1761969600000,110226.37000000,120000,0.01689498,0.00228311,0.01917808
2025-11-01 11:00:00,95,95,95,95,0.02,2025-11-01 12:00:00,1.9,1,1761969600000,1761973200000,110291.67000000,120000,0.01678082,0.00239726,0.01917808
2025-11-01 12:00:00,95,100,95,100,2.05,2025-11-01 13:00:00,195.2,5,1761973200000,1761976800000,110140.79000000,120000,0.01666667,0.00251142,0.01917808
2025-11-01 13:00:00,100,100,100,100,0,2025-11-01 14:00:00,0,0,1761976800000,1761980400000,110004.82000000,120000,0.01655251,0.00262557,0.01917808
2025-11-01 14:00:00,100,100,95,95,2.47,2025-11-01 15:00:00,244.65,2,1761980400000,1761984000000,110071.40000000,120000,0.01643836,0.00273973,0.01917808
2025-11-01 15:00:00,100,100,100,100,0.04,2025-11-01 16:00:00,4,1,1761984000000,1761987600000,110248.88000000,120000,0.01632420,0.00285388,0.01917808
2025-11-01 16:00:00,95,95,95,95,0.05,2025-11-01 17:00:00,4.75,2,1761987600000,1761991200000,109991.29000000,120000,0.01621005,0.00296804,0.01917808
2025-11-01 17:00:00,90,90,80,80,0.12,2025-11-01 18:00:00,10.4,2,1761991200000,1761994800000,110147.83000000,120000,0.01609589,0.00308219,0.01917808
2025-11-01 18:00:00,85,85,85,85,0.03,2025-11-01 19:00:00,2.55,1,1761994800000,1761998400000,110137.59000000,120000,0.01598174,0.00319635,0.01917808
2025-11-01 19:00:00,85,85,85,85,0.01,2025-11-01 20:00:00,0.85,1,1761998400000,1762002000000,110017.27000000,120000,0.01586758,0.00331050,0.01917808
2025-11-01 20:00:00,85,85,85,85,0.04,2025-11-01 21:00:00,3.4,1,1762002000000,1762005600000,109946.27000000,120000,0.01575342,0.00342466,0.01917808
2025-11-01 21:00:00,85,85,85,85,0.07,2025-11-01 22:00:00,5.95,1,1762005600000,1762009200000,109933.85000000,120000,0.01563927,0.00353881,0.01917808
2025-11-01 22:00:00,85,85,85,85,0,2025-11-01 23:00:00,0,0,1762009200000,1762012800000,110310.65000000,120000,0.01552511,0.00365297,0.01917808
2025-11-01 23:00:00,105,105,105,105,0.04,2025-11-02 00:00:00,4.2,1,1762012800000,1762016400000,110464.33000000,120000,0.01541096,0.00376712,0.01917808
