open_time,open,high,low,close,volume,close_time,amount,trade_count,open_time_unix_ms,close_time_unix_ms,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T
2025-12-06 15:00:00,235,235,175,175,1.18,2025-12-06 15:30:00,263.6,8,1765008000000,1765009800000,89288.38000000,90000,0.00268265,0.00005708,0.00273973
2025-12-06 15:30:00,150,150,145,145,0.04,2025-12-06 16:00:00,5.95,2,1765009800000,1765011600000,89277.14000000,90000,0.00262557,0.00011416,0.00273973
2025-12-06 16:00:00,140,195,140,195,0.97,2025-12-06 16:30:00,184.1,5,1765011600000,1765013400000,89634.62000000,90000,0.00256849,0.00017123,0.00273973
2025-12-06 16:30:00,205,225,205,210,0.42,2025-12-06 17:00:00,87.45,5,1765013400000,1765015200000,89574.12000000,90000,0.00251142,0.00022831,0.00273973
2025-12-06 17:00:00,200,200,200,200,0.01,2025-12-06 17:30:00,2,1,1765015200000,1765017000000,89534.97000000,90000,0.00245434,0.00028539,0.00273973
2025-12-06 17:30:00,190,190,190,190,0.01,2025-12-06 18:00:00,1.9,1,1765017000000,1765018800000,89506.00000000,90000,0.00239726,0.00034247,0.00273973
2025-12-06 18:00:00,185,190,185,190,0.55,2025-12-06 18:30:00,104,2,1765018800000,1765020600000,89579.25000000,90000,0.00234018,0.00039954,0.00273973
2025-12-06 18:30:00,185,195,185,195,0.58,2025-12-06 19:00:00,109.2,4,1765020600000,1765022400000,89631.28000000,90000,0.00228311,0.00045662,0.00273973
2025-12-06 19:00:00,195,195,195,195,0,2025-12-06 19:30:00,0,0,1765022400000,1765024200000,89616.33000000,90000,0.00222603,0.00051370,0.00273973
2025-12-06 19:30:00,195,195,195,195,0,2025-12-06 20:00:00,0,0,1765024200000,1765026000000,89581.19000000,90000,0.00216895,0.00057078,0.00273973
2025-12-06 20:00:00,200,205,200,205,0.07,2025-12-06 20:30:00,14.1,2,1765026000000,1765027800000,89688.18000000,90000,0.00211187,0.00062785,0.00273973
2025-12-06 20:30:00,205,205,205,205,0,2025-12-06 21:00:00,0,0,1765027800000,1765029600000,89673.73000000,90000,0.00205479,0.00068493,0.00273973
2025-12-06 21:00:00,200,490,200,325,7.25,2025-12-06 21:30:00,2557.1,24,1765029600000,1765031400000,89934.04000000,90000,0.00199772,0.00074201,0.00273973
2025-12-06 21:30:00,335,430,335,360,2.03,2025-12-06 22:00:00,761.7,13,1765031400000,1765033200000,90004.76000000,90000,0.00194064,0.00079909,0.00273973
2025-12-06 22:00:00,350,350,195,205,3.04,2025-12-06 22:30:00,797.5,22,1765033200000,1765035000000,89639.84000000,90000,0.00188356,0.00085616,0.00273973
2025-12-06 22:30:00,225,320,225,255,3.49,2025-12-06 23:00:00,1092.55,49,1765035000000,1765036800000,89758.77000000,90000,0.00182648,0.00091324,0.00273973
2025-12-06 23:00:00,235,320,230,315,3.13,2025-12-06 23:30:00,753.2,6,1765036800000,1765038600000,89882.46000000,90000,0.00176941,0.00097032,0.00273973
2025-12-06 23:30:00,285,285,210,210,4.03,2025-12-07 00:00:00,1044.25,4,1765038600000,1765040400000,89707.80000000,90000,0.00171233,0.00102740,0.00273973
2025-12-07 00:00:00,250,260,230,260,0.21,2025-12-07 00:30:00,52.5,3,1765040400000,1765042200000,89844.48000000,90000,0.00165525,0.00108447,0.00273973
2025-12-07 00:30:00,260,260,260,260,0,2025-12-07 01:00:00,0,0,1765042200000,1765044000000,89712.85000000,90000,0.00159817,0.00114155,0.00273973
2025-12-07 01:00:00,260,260,260,260,0,2025-12-07 01:30:00,0,0,1765044000000,1765045800000,89761.53000000,90000,0.00154110,0.00119863,0.00273973
