open_time,open,high,low,close,volume,close_time,amount,trade_count,open_time_unix_ms,close_time_unix_ms,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T
2025-11-14 15:00:00,1380,1465,1355,1355,4.22,2025-11-14 16:00:00,5724.1,5,1763107200000,1763110800000,97377.41000000,100000,0.01906393,0.00011416,0.01917808
2025-11-14 16:00:00,1420,1420,1220,1275,3.63,2025-11-14 17:00:00,4587.75,3,1763110800000,1763114400000,96839.93000000,100000,0.01894977,0.00022831,0.01917808
2025-11-14 17:00:00,1210,1310,1190,1190,4.26,2025-11-14 18:00:00,5325.2,5,1763114400000,1763118000000,96752.20000000,100000,0.01883562,0.00034247,0.01917808
2025-11-14 18:00:00,1145,1145,1075,1140,3.08,2025-11-14 19:00:00,3456.55,3,1763118000000,1763121600000,96167.44000000,100000,0.01872146,0.00045662,0.01917808
2025-11-14 19:00:00,910,910,835,835,1.36,2025-11-14 20:00:00,1210.6,2,1763121600000,1763125200000,95350.75000000,100000,0.01860731,0.00057078,0.01917808
2025-11-14 20:00:00,835,835,835,835,0,2025-11-14 21:00:00,0,0,1763125200000,1763128800000,95243.95000000,100000,0.01849315,0.00068493,0.01917808
2025-11-14 21:00:00,990,1185,960,1130,2.67,2025-11-14 22:00:00,3080,8,1763128800000,1763132400000,96542.38000000,100000,0.01837900,0.00079909,0.01917808
2025-11-14 22:00:00,1085,1280,1085,1280,0.02,2025-11-14 23:00:00,23.65,2,1763132400000,1763136000000,96796.14000000,100000,0.01826484,0.00091324,0.01917808
2025-11-14 23:00:00,1075,1075,1075,1075,0.05,2025-11-15 00:00:00,53.75,1,1763136000000,1763139600000,97011.22000000,100000,0.01815068,0.00102740,0.01917808
2025-11-15 00:00:00,1075,1075,1075,1075,0,2025-11-15 01:00:00,0,0,1763139600000,1763143200000,95842.56000000,100000,0.01803653,0.00114155,0.01917808
2025-11-15 01:00:00,910,980,790,790,0.06,2025-11-15 02:00:00,53.7,6,1763143200000,1763146800000,95075.53000000,100000,0.01792237,0.00125571,0.01917808
2025-11-15 02:00:00,790,790,790,790,0,2025-11-15 03:00:00,0,0,1763146800000,1763150400000,95778.29000000,100000,0.01780822,0.00136986,0.01917808
2025-11-15 03:00:00,790,790,790,790,0,2025-11-15 04:00:00,0,0,1763150400000,1763154000000,94377.47000000,100000,0.01769406,0.00148402,0.01917808
2025-11-15 04:00:00,700,720,700,720,16.42,2025-11-15 05:00:00,11789.4,4,1763154000000,1763157600000,95059.47000000,100000,0.01757991,0.00159817,0.01917808
2025-11-15 05:00:00,720,720,720,720,0,2025-11-15 06:00:00,0,0,1763157600000,1763161200000,95179.99000000,100000,0.01746575,0.00171233,0.01917808
2025-11-15 06:00:00,720,720,720,720,0,2025-11-15 07:00:00,0,0,1763161200000,1763164800000,94594.00000000,100000,0.01735160,0.00182648,0.01917808
2025-11-15 07:00:00,665,705,665,705,0.02,2025-11-15 08:00:00,13.7,2,1763164800000,1763168400000,95149.35000000,100000,0.01723744,0.00194064,0.01917808
2025-11-15 08:00:00,700,700,655,685,0.22,2025-11-15 09:00:00,149.2,3,1763168400000,1763172000000,95650.17000000,100000,0.01712329,0.00205479,0.01917808
2025-11-15 09:00:00,685,685,685,685,0,2025-11-15 10:00:00,0,0,1763172000000,1763175600000,96482.77000000,100000,0.01700913,0.00216895,0.01917808
2025-11-15 10:00:00,885,980,885,890,1.99,2025-11-15 11:00:00,1851.7,5,1763175600000,1763179200000,96417.12000000,100000,0.01689498,0.00228311,0.01917808
