open_time,open,high,low,close,volume,close_time,amount,trade_count,open_time_unix_ms,close_time_unix_ms,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T
2025-09-15 13:00:00,2145,2145,2145,2145,3,2025-09-15 15:00:00,6435,2,1757916000000,1757923200000,115806.62000000,115000,0.01095890,0.00821918,0.01917808
2025-09-15 15:00:00,1980,2100,1650,1650,1.88,2025-09-15 17:00:00,3888.3,3,1757923200000,1757930400000,114868.59000000,115000,0.01073059,0.00844749,0.01917808
2025-09-15 17:00:00,1605,1690,1585,1655,0.88,2025-09-15 19:00:00,1432.05,5,1757930400000,1757937600000,115070.00000000,115000,0.01050228,0.00867580,0.01917808
2025-09-15 19:00:00,1560,1560,1430,1430,3.36,2025-09-15 21:00:00,5210.5,6,1757937600000,1757944800000,114664.08000000,115000,0.01027397,0.00890411,0.01917808
2025-09-15 21:00:00,1420,1500,1340,1340,2.51,2025-09-15 23:00:00,3448.2,7,1757944800000,1757952000000,114842.90000000,115000,0.01004566,0.00913242,0.01917808
2025-09-15 23:00:00,1480,1485,1440,1485,1.68,2025-09-16 01:00:00,2455.65,7,1757952000000,1757959200000,115120.03000000,115000,0.00981735,0.00936073,0.01917808
2025-09-16 01:00:00,1855,1855,1650,1650,2.1,2025-09-16 03:00:00,3485.5,2,1757959200000,1757966400000,115307.78000000,115000,0.00958904,0.00958904,0.01917808
2025-09-16 03:00:00,1650,1650,1650,1650,0,2025-09-16 05:00:00,0,0,1757966400000,1757973600000,115528.00000000,115000,0.00936073,0.00981735,0.01917808
2025-09-16 05:00:00,1650,1650,1650,1650,0,2025-09-16 07:00:00,0,0,1757973600000,1757980800000,115349.71000000,115000,0.00913242,0.01004566,0.01917808
2025-09-16 07:00:00,1625,1625,1615,1625,3.2,2025-09-16 09:00:00,5188.6,4,1757980800000,1757988000000,115024.24000000,115000,0.00890411,0.01027397,0.01917808
2025-09-16 09:00:00,1595,1595,1565,1565,0.35,2025-09-16 11:00:00,554.95,5,1757988000000,1757995200000,115307.25000000,115000,0.00867580,0.01050228,0.01917808
2025-09-16 11:00:00,1640,1985,1625,1985,2.77,2025-09-16 13:00:00,4965.15,11,1757995200000,1758002400000,115936.65000000,115000,0.00844749,0.01073059,0.01917808
2025-09-16 13:00:00,1845,1845,1845,1845,3,2025-09-16 15:00:00,5535,1,1758002400000,1758009600000,115840.00000000,115000,0.00821918,0.01095890,0.01917808
