open_time,open,high,low,close,volume,close_time,amount,trade_count,open_time_unix_ms,close_time_unix_ms,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T
2025-11-28 15:00:00,790,790,790,790,0,2025-11-28 16:00:00,0,0,1764316800000,1764320400000,91690.00000000,95000,0.01906393,0.00011416,0.01917808
2025-11-28 16:00:00,760,760,725,725,0.04,2025-11-28 17:00:00,29.7,2,1764320400000,1764324000000,91599.99000000,95000,0.01894977,0.00022831,0.01917808
2025-11-28 17:00:00,740,740,740,740,0.44,2025-11-28 18:00:00,325.6,1,1764324000000,1764327600000,91850.49000000,95000,0.01883562,0.00034247,0.01917808
2025-11-28 18:00:00,740,740,740,740,0,2025-11-28 19:00:00,0,0,1764327600000,1764331200000,91437.64000000,95000,0.01872146,0.00045662,0.01917808
2025-11-28 19:00:00,740,740,740,740,0,2025-11-28 20:00:00,0,0,1764331200000,1764334800000,91513.40000000,95000,0.01860731,0.00057078,0.01917808
2025-11-28 20:00:00,985,995,985,995,0.12,2025-11-28 21:00:00,118.3,2,1764334800000,1764338400000,92377.01000000,95000,0.01849315,0.00068493,0.01917808
2025-11-28 21:00:00,1010,1010,930,930,1.22,2025-11-28 22:00:00,1136.2,2,1764338400000,1764342000000,92250.01000000,95000,0.01837900,0.00079909,0.01917808
2025-11-28 22:00:00,930,930,930,930,1.55,2025-11-28 23:00:00,1441.5,1,1764342000000,1764345600000,92362.49000000,95000,0.01826484,0.00091324,0.01917808
2025-11-28 23:00:00,805,805,645,700,2.9,2025-11-29 00:00:00,1899.6,4,1764345600000,1764349200000,90936.23000000,95000,0.01815068,0.00102740,0.01917808
2025-11-29 00:00:00,700,700,700,700,0,2025-11-29 01:00:00,0,0,1764349200000,1764352800000,90663.98000000,95000,0.01803653,0.00114155,0.01917808
2025-11-29 01:00:00,525,525,525,525,1.21,2025-11-29 02:00:00,635.25,1,1764352800000,1764356400000,90830.57000000,95000,0.01792237,0.00125571,0.01917808
2025-11-29 02:00:00,525,525,525,525,0,2025-11-29 03:00:00,0,0,1764356400000,1764360000000,91157.44000000,95000,0.01780822,0.00136986,0.01917808
2025-11-29 03:00:00,610,610,610,610,1.26,2025-11-29 04:00:00,768.6,1,1764360000000,1764363600000,91201.10000000,95000,0.01769406,0.00148402,0.01917808
2025-11-29 04:00:00,610,610,610,610,0,2025-11-29 05:00:00,0,0,1764363600000,1764367200000,90888.01000000,95000,0.01757991,0.00159817,0.01917808
2025-11-29 05:00:00,610,610,610,610,0,2025-11-29 06:00:00,0,0,1764367200000,1764370800000,91122.00000000,95000,0.01746575,0.00171233,0.01917808
